GROUP_VALUE,GP,MIN,TS_PCT,USG_PCT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,E_NET_RATING,AST_PCT,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,PACE,E_PACE,PIE,PERSON_ID,SEASON_START_YEAR
2019-20,60,35.3,0.595,0.339,111.2,108.9,116.1,114.2,-4.9,-5.3,0.423,0.014,0.1,0.057,12.4,12.3,0.519,105.18,107.15,0.16,1629027,2019
2020-21,63,33.7,0.589,0.32,118.2,118.1,113.0,112.3,5.2,5.9,0.426,0.018,0.094,0.057,11.8,11.8,0.499,100.5,100.85,0.15,1629027,2020
2021-22,76,34.9,0.603,0.333,117.2,116.5,114.9,113.6,2.3,2.9,0.442,0.019,0.087,0.053,10.7,10.7,0.536,100.2,101.06,0.161,1629027,2021
2022-23,73,34.8,0.573,0.313,115.9,115.3,114.6,114.4,1.3,1.0,0.414,0.021,0.062,0.042,11.1,11.1,0.485,104.39,104.78,0.143,1629027,2022
2018-19,47,16.3,0.539,0.174,94.3,94.2,109.2,108.0,-14.9,-13.8,0.086,0.074,0.213,0.14,12.3,12.2,0.525,99.7,100.27,0.103,1628964,2018
2019-20,62,14.2,0.542,0.163,103.9,103.6,103.4,102.7,0.5,0.9,0.077,0.099,0.216,0.155,10.7,10.8,0.526,99.81,100.29,0.115,1628964,2019
2020-21,46,15.8,0.556,0.21,102.4,101.5,115.2,114.7,-12.9,-13.2,0.082,0.091,0.24,0.163,9.0,9.0,0.535,101.09,101.79,0.123,1628964,2020
2021-22,71,25.7,0.582,0.17,101.8,100.9,111.3,109.6,-9.6,-8.6,0.073,0.077,0.214,0.146,9.5,9.5,0.566,100.13,101.38,0.114,1628964,2021
2022-23,49,15.7,0.602,0.166,113.0,112.8,111.5,110.8,1.5,2.0,0.086,0.076,0.198,0.14,8.7,8.7,0.585,99.32,99.72,0.101,1628964,2022
2018-19,44,25.2,0.541,0.192,97.8,95.9,109.5,109.2,-11.7,-13.3,0.118,0.075,0.198,0.136,11.5,11.5,0.493,99.17,100.31,0.1,1628976,2018
2019-20,43,29.2,0.59,0.162,104.8,104.0,105.3,105.4,-0.5,-1.4,0.062,0.102,0.216,0.156,13.4,13.5,0.542,100.79,101.07,0.103,1628976,2019
2020-21,32,24.7,0.578,0.185,107.4,105.9,114.0,113.1,-6.7,-7.2,0.126,0.087,0.22,0.154,11.6,11.7,0.528,102.17,103.31,0.109,1628976,2020
2018-19,82,31.8,0.52,0.247,105.6,104.5,118.1,117.5,-12.5,-13.0,0.154,0.021,0.072,0.045,10.6,10.6,0.48,98.54,99.33,0.073,1629012,2018
2019-20,65,33.0,0.56,0.264,107.8,106.1,117.0,116.5,-9.2,-10.4,0.146,0.028,0.069,0.048,10.2,10.2,0.517,100.37,101.39,0.095,1629012,2019
